time_s,CH1_V,CH2_V
-0.44751,-0.0004,-0.0844
-0.4475,0.0004,-0.0844
-0.44749,-0.0004,-0.0844
-0.44748,-0.0004,-0.0844
-0.44747,-0.0012000000000000001,-0.0844
-0.44745999999999997,-0.0004,-0.0844
-0.44745,-0.0012000000000000001,-0.0844
-0.44744,0.0004,-0.0844
-0.44743,0.0004,-0.0844
-0.44742,-0.0012000000000000001,-0.0844
-0.44741,-0.0004,-0.0844
-0.4474,-0.0004,-0.0844
-0.44739,0.0004,-0.0844
-0.44738,-0.0012000000000000001,-0.0844
-0.44737,-0.0012000000000000001,-0.0844
-0.44736,-0.0004,-0.0844
-0.44735,-0.0004,-0.0844
-0.44734,0.0004,-0.0844
-0.44733,-0.0012000000000000001,-0.0844
-0.44732,-0.0004,-0.0844
-0.44731,-0.0004,-0.0844
-0.4473,0.0028,-0.0844
-0.44728999999999997,0.0004,-0.0844
-0.44728,-0.002,-0.0844
-0.44727,0.0004,-0.0844
-0.44726,-0.0004,-0.0844
-0.44725,-0.0004,-0.0844
-0.44723999999999997,-0.0012000000000000001,-0.0844
-0.44723,-0.0004,-0.0844
-0.44722,0.0004,-0.0844
-0.44721,-0.002,-0.0844
-0.4472,-0.0012000000000000001,-0.0844
-0.44719,0.0004,-0.0844
-0.44718,-0.0004,-0.0844
-0.44717,-0.0004,-0.0844
-0.44716,-0.0012000000000000001,-0.0844
-0.44715,-0.0012000000000000001,-0.0844
-0.44714,-0.0004,-0.0844
-0.44712999999999997,-0.0012000000000000001,-0.0844
-0.44712,-0.002,-0.0844
-0.44711,-0.0004,-0.0844
-0.4471,-0.0004,-0.0844
-0.44709,0.0004,-0.0844
-0.44708,0.0004,-0.0844
-0.44706999999999997,0.0004,-0.0844
-0.44706,0.0004,-0.0844
-0.44705,-0.0004,-0.0844
-0.44704,-0.0012000000000000001,-0.0844
-0.44703,0.0004,-0.0844
-0.44702,-0.0004,-0.0844
-0.44701,-0.0004,-0.0844
-0.447,0.002,-0.0844
-0.44699,-0.0004,-0.0844
-0.44698,-0.0004,-0.0844
-0.44697,-0.0004,-0.0844
-0.44696,-0.0004,-0.0844
-0.44695,-0.0004,-0.0844
-0.44694,-0.0012000000000000001,-0.0844
-0.44693,0.0004,-0.0844
-0.44692,-0.0004,-0.0844
-0.44691,0.0004,-0.0844
-0.4469,-0.0004,-0.0844
-0.44689,-0.0004,-0.0844
-0.44688,0.0004,-0.0844
-0.44687,0.0004,-0.0844
-0.44686,-0.0004,-0.0844
-0.44684999999999997,0.0004,-0.0844
-0.44684,-0.0012000000000000001,-0.0844
-0.44683,-0.0012000000000000001,-0.0844
-0.44682,-0.0004,-0.0844
-0.44681,0.0004,-0.0844
-0.4468,0.0004,-0.0844
-0.44679,0.0004,-0.0844
-0.44678,0.0004,-0.0844
-0.44677,-0.0012000000000000001,-0.0844
-0.44676,-0.0012000000000000001,-0.0844
-0.44675,-0.0004,-0.0844
-0.44674,-0.0004,-0.0844
-0.44673,-0.0004,-0.0844
-0.44672,-0.0004,-0.0844
-0.44671,0.0004,-0.0844
-0.4467,0.0012000000000000001,-0.0844
-0.44669,-0.0004,-0.0844
-0.44667999999999997,0.0004,-0.0844
-0.44667,0.0004,-0.0844
-0.44666,0.0004,-0.0844
-0.44665,0.0004,-0.0844
-0.44664,-0.0004,-0.0844
-0.44662999999999997,0.0004,-0.0844
-0.44662,-0.0004,-0.0844
-0.44661,0.0004,-0.0844
-0.4466,-0.0012000000000000001,-0.0844
-0.44659,-0.0004,-0.0844
-0.44658,0.0004,-0.0844
-0.44657,0.0004,-0.0844
-0.44656,0.0004,-0.0844
-0.44655,-0.002,-0.0844
-0.44654,0.0004,-0.0844
-0.44653,-0.0004,-0.0844
-0.44652,-0.0012000000000000001,-0.0844
-0.44651,-0.0004,-0.0844
-0.4465,-0.0004,-0.0844
-0.44649,-0.0012000000000000001,-0.0844
-0.44648,-0.002,-0.0844
-0.44647,-0.0012000000000000001,-0.0844
-0.44645999999999997,-0.0004,-0.0844
-0.44645,-0.0004,-0.0844
-0.44644,-0.0012000000000000001,-0.0844
-0.44643,-0.0004,-0.0844
-0.44642,0.0012000000000000001,-0.0844
-0.44641,0.0012000000000000001,-0.0844
-0.4464,0.0004,-0.0844
-0.44639,-0.0012000000000000001,-0.0844
-0.44638,0.0004,-0.0844
-0.44637,0.0012000000000000001,-0.0844
-0.44636,-0.0004,-0.0844
-0.44635,-0.0004,-0.0844
-0.44634,-0.0012000000000000001,-0.0844
-0.44633,-0.002,-0.0844
-0.44632,0.0004,-0.0844
-0.44631,0.0004,-0.0844
-0.4463,-0.0004,-0.0844
-0.44628999999999996,-0.0004,-0.0844
-0.44628,-0.0004,-0.0844
-0.44627,0.0004,-0.0844
-0.44626,0.0004,-0.0844
-0.44625,-0.0004,-0.0844
-0.44623999999999997,-0.0004,-0.0844
-0.44623,0.0012000000000000001,-0.0844
-0.44622,-0.0012000000000000001,-0.0844
-0.44621,-0.002,-0.0844
-0.4462,-0.002,-0.0844
-0.44619,-0.0004,-0.0844
-0.44618,0.0004,-0.0844
-0.44617,-0.0004,-0.0844
-0.44616,0.0004,-0.0844
-0.44615,0.0012000000000000001,-0.0844
-0.44614,0.0004,-0.0844
-0.44613,0.0004,-0.0844
-0.44612,0.0004,-0.0844
-0.44611,0.0004,-0.0844
-0.4461,-0.0012000000000000001,-0.0844
-0.44609,-0.0004,-0.0844
-0.44608,-0.0004,-0.0844
-0.44606999999999997,-0.0012000000000000001,-0.0844
-0.44606,0.0004,-0.0844
-0.44605,0.0004,-0.0844
-0.44604,-0.0004,-0.0844
-0.44603,-0.0004,-0.0844
-0.44601999999999997,-0.0012000000000000001,-0.0844
-0.44601,-0.0004,-0.0844
-0.446,0.0004,-0.0844
-0.44599,-0.0012000000000000001,-0.0844
-0.44598,-0.0004,-0.0844
-0.44597,-0.0004,-0.0844
-0.44596,-0.0004,-0.0844
-0.44595,-0.002,-0.0844
-0.44594,-0.0004,-0.0844
-0.44593,-0.0004,-0.0844
-0.44592,-0.0004,-0.0844
