TIME,CH1,CH2,FREQ
0.27944,0.0356,0.0572,456774306079452.312500
0.2794500000000001,0.0356,0.058,456774306079452.312500
0.27946000000000004,0.0356,0.055600000000000004,456774306079452.312500
0.2794700000000001,0.0356,0.0524,456774306079452.312500
0.27948000000000006,0.037200000000000004,0.0516,456774306079452.312500
0.27949,0.027600000000000003,0.05,456774306079452.312500
0.2795000000000001,0.0364,0.058,456774306079452.312500
0.27951000000000004,0.0356,0.058,456774306079452.312500
0.2795200000000001,0.038,0.0596,456774306079452.312500
0.27953000000000006,0.034800000000000005,0.0596,456774306079452.312500
0.27954,0.037200000000000004,0.058800000000000005,456774306079452.312500
0.2795500000000001,0.034800000000000005,0.0548,456774306079452.312500
0.27956000000000003,0.0332,0.0572,456774306079452.312500
0.2795700000000001,0.0356,0.056400000000000006,456774306079452.312500
0.27958000000000005,0.034,0.055600000000000004,456774306079452.312500
0.2795900000000001,0.0356,0.0492,456774306079452.312500
0.27960000000000007,0.0324,0.058800000000000005,456774306079452.312500
0.27961,0.034800000000000005,0.0468,456774306079452.312500
0.2796200000000001,0.034800000000000005,0.058800000000000005,456774306079452.312500
0.27963000000000005,0.0332,0.0572,456774306079452.312500
0.2796400000000001,0.034800000000000005,0.058,456774306079452.312500
0.27965000000000007,0.034800000000000005,0.058800000000000005,456774306079452.312500
0.27966,0.034,0.0444,456774306079452.312500
0.2796700000000001,0.0284,0.0548,456774306079452.312500
0.27968000000000004,0.0324,0.0516,456774306079452.312500
0.2796900000000001,0.034800000000000005,0.058800000000000005,456774306079452.312500
0.27970000000000006,0.0332,0.0524,456774306079452.312500
0.27971,0.0316,0.058800000000000005,456774306079452.312500
0.2797200000000001,0.0332,0.055600000000000004,456774306079452.312500
0.27973000000000003,0.034800000000000005,0.0572,456774306079452.312500
0.2797400000000001,0.0308,0.050800000000000005,456774306079452.312500
0.27975000000000005,0.0284,0.058,456774306079452.312500
0.27976,0.034800000000000005,0.0572,456774306079452.312500
0.2797700000000001,0.030000000000000002,0.054,456774306079452.312500
0.27978000000000003,0.034,0.0548,456774306079452.312500
0.2797900000000001,0.0244,0.0596,456774306079452.312500
0.27980000000000005,0.037200000000000004,0.058,456774306079452.312500
0.2798100000000001,0.0356,0.058800000000000005,456774306079452.312500
0.27982000000000007,0.0332,0.0596,456774306079452.312500
0.27983,0.034800000000000005,0.0524,456774306079452.312500
0.2798400000000001,0.0308,0.0572,456774306079452.312500
0.27985000000000004,0.0308,0.0412,456774306079452.312500
0.2798600000000001,0.0356,0.0596,456774306079452.312500
0.27987000000000006,0.0364,0.048400000000000006,456774306079452.312500
0.27988,0.034,0.055600000000000004,456774306079452.312500
0.2798900000000001,0.034800000000000005,0.058,456774306079452.312500
0.27990000000000004,0.0356,0.056400000000000006,456774306079452.312500
0.2799100000000001,0.0332,0.058,456774306079452.312500
0.27992000000000006,0.034,0.056400000000000006,456774306079452.312500
0.27993,0.034800000000000005,0.058,456774306079452.312500
0.2799400000000001,0.0332,0.058800000000000005,456774306079452.312500
0.27995000000000003,0.0332,0.054,456774306079452.312500
0.2799600000000001,0.034800000000000005,0.058800000000000005,456774306079452.312500
0.27997000000000005,0.0356,0.058,456774306079452.312500
0.2799800000000001,0.0332,0.058,456774306079452.312500
0.27999000000000007,0.0356,0.054,456774306079452.312500
0.28,0.034,0.0572,456774306079452.312500
0.2800100000000001,0.0308,0.058,456774306079452.312500
0.28002000000000005,0.034,0.055600000000000004,456774306079452.312500
0.2800300000000001,0.0356,0.058800000000000005,456774306079452.312500
0.28004000000000007,0.0356,0.0572,456774306079452.312500
0.28005,0.0332,0.0524,456774306079452.312500
0.2800600000000001,0.0364,0.0596,456774306079452.312500
0.28007000000000004,0.0364,0.0548,456774306079452.312500
0.2800800000000001,0.0364,0.053200000000000004,456774306079452.312500
0.28009000000000006,0.0364,0.0572,456774306079452.312500
0.2801,0.0364,0.058,456774306079452.312500
0.2801100000000001,0.0356,0.056400000000000006,456774306079452.312500
0.28012000000000004,0.034800000000000005,0.055600000000000004,456774306079452.312500
0.2801300000000001,0.037200000000000004,0.0572,456774306079452.312500
0.28014000000000006,0.0308,0.0572,456774306079452.312500
0.28015,0.0364,0.058800000000000005,456774306079452.312500
0.2801600000000001,0.037200000000000004,0.058800000000000005,456774306079452.312500
0.28017000000000003,0.030000000000000002,0.056400000000000006,456774306079452.312500
0.2801800000000001,0.030000000000000002,0.0548,456774306079452.312500
0.28019000000000005,0.034800000000000005,0.058800000000000005,456774306079452.312500
0.2802000000000001,0.0356,0.0596,456774306079452.312500
0.28021000000000007,0.034800000000000005,0.058,456774306079452.312500
0.28022,0.0356,0.054,456774306079452.312500
0.2802300000000001,0.034800000000000005,0.055600000000000004,456774306079452.312500
0.28024000000000004,0.034800000000000005,0.058,456774306079452.312500
0.2802500000000001,0.0332,0.056400000000000006,456774306079452.312500
0.28026000000000006,0.0356,0.056400000000000006,456774306079452.312500
0.28027,0.034800000000000005,0.056400000000000006,456774306079452.312500
0.2802800000000001,0.0356,0.056400000000000006,456774306079452.312500
