detuning_uv_GHz,Transmission_BaselineCorrected,TransmissionErr_BaselineCorrected,Theory_NoBaseline,Residuals_Norm
-10.764055930776522,0.9958189859923355,0.0059350068130291,0.9993728909382962,-0.5988038527872899
-10.74874454503879,1.0007470292232012,0.005980587426308375,0.9993708754900954,0.23010343884485282
-10.737608992145397,0.9927450967498946,0.0059914005386959126,0.999369403495668,-1.1056357696317958
-10.725081495475024,0.9947387998556367,0.0058576378228142505,0.9993677406948202,-0.7902401922417732
-10.683323175297119,0.9955564790755997,0.006141953330395802,0.9993621510510581,-0.6196191619731974
-10.666619848459959,0.9945274289867986,0.005925105859212184,0.9993598946125656,-0.815591440995712
-10.656876241439022,0.9929647872237372,0.006185149420853391,0.999358572631809,-1.03373176184153
-10.63878097163979,0.995936784981072,0.005897425323313693,0.9993561064065036,-0.5797990204156395
-10.60955015255604,0.9989404703952187,0.006063484895338404,0.9993520920493802,-0.06788532688157356
-10.583103222772479,0.9867766548138633,0.005989472882937287,0.9993484271897897,-2.0989780940056657
-10.563616012455896,1.0008459959793403,0.006065746130060261,0.999345706834723,0.24733793872154708
-10.519073820440099,1.011734292048148,0.0059641332501874905,0.9993394242071524,2.0782345600018224
-10.50376244285144,1.0036101477140793,0.006016266590536652,0.9993372431008061,0.7102252782472008
-10.488451065612026,0.9970050007905827,0.005877291815385391,0.9993350517181172,-0.3964497596384327
-10.448084710515104,0.9983984793759305,0.006053067217275578,0.9993292206670341,-0.15376358095731096
-10.418853903771378,0.9961918405462512,0.005907293566915644,0.9993249495287103,-0.5303797664646942
-10.37709561176598,0.9975907812527977,0.006008326077581931,0.9993187765282406,-0.28760011576109745
-10.36178423895035,1.0075679662797554,0.005911319788474841,0.9993164911130857,1.395876971967815
-10.342297038063407,1.0057345229397594,0.006014678566773701,0.9993135662019222,1.0675477777495574
-10.322809837874956,1.0048621943507905,0.006147327500335699,0.9993106223174495,0.9030870785781033
